,name,rating,reviews,type,hq,old,employees
0,TCS,3.8,71.9k,Public,Mumbai +335 more,56 years old,1 Lakh+ Employees
1,Accenture,4.0,45.5k,Public,Dublin +166 more,35 years old,1 Lakh+ Employees
2,Cognizant,3.9,41k,Forbes Global 2000,Teaneck. New Jersey. +153 more,30 years old,1 Lakh+ Employees
3,Wipro,3.8,36.4k,Public,Bangalore/Bengaluru +268 more,79 years old,1 Lakh+ Employees
4,HDFC Bank,3.9,33.4k,Public,Mumbai +1514 more,30 years old,1 Lakh+ Employees
5,ICICI Bank,4.0,33.1k,Public,Mumbai +1265 more,30 years old,1 Lakh+ Employees
6,Infosys,3.8,31.2k,Public,Bengaluru/Bangalore +169 more,43 years old,1 Lakh+ Employees
7,Capgemini,3.8,29.1k,Public,Paris +123 more,57 years old,1 Lakh+ Employees
8,HCLTech,3.6,27.9k,Public,Noida +179 more,33 years old,1 Lakh+ Employees
9,Tech Mahindra,3.7,27.1k,Public,Pune +258 more,38 years old,1 Lakh+ Employees
10,Genpact,3.9,25.7k,Public,New York +105 more,27 years old,1 Lakh+ Employees
11,Axis Bank,3.8,21.7k,Public,Mumbai +1286 more,31 years old,50k-1 Lakh Employees
12,Concentrix Corporation,3.9,21.4k,Public,Fremont +108 more,41 years old,50k-1 Lakh Employees
13,Teleperformance,3.5,20.5k,Forbes Global 2000,Paris +172 more,46 years old,50k-1 Lakh Employees
14,Amazon,4.1,20.4k,Public,Seattle +434 more,30 years old,1 Lakh+ Employees
15,Reliance Jio,4.0,20.3k,Public,Navi Mumbai +1165 more,17 years old,50k-1 Lakh Employees
16,IBM,4.1,19.5k,Public,Armonk +143 more,113 years old,1 Lakh+ Employees
17,Larsen & Toubro Limited,4.0,18.5k,Public,Mumbai +629 more,86 years old,10k-50k Employees
18,Reliance Retail,3.9,18.5k,18 years old,,Navi Mumbai +978 more,1 Lakh+ Employees
19,HDB Financial Services,4.0,17.8k,17 years old,,Ahmedabad +937 more,1 Lakh+ Employees
20,Vodafone Idea,4.2,15.2k,Public,Mumbai +632 more,6 years old,5k-10k Employees
21,BYJU'S,3.1,14.4k,Indian Unicorn,Bangalore +302 more,13 years old,10k-50k Employees
22,Deloitte,3.9,14.2k,179 years old,,London +153 more,1 Lakh+ Employees
23,Kotak Mahindra Bank,3.8,14k,Public,Mumbai +559 more,21 years old,50k-1 Lakh Employees
24,Reliance Industries,4.0,13.4k,Public,Navi Mumbai +656 more,47 years old,1 Lakh+ Employees
25,Bharti Airtel,4.0,12k,Public,Gurgaon/Gurugram +645 more,29 years old,10k-50k Employees
26,iEnergizer,4.6,11.5k,24 years old,,Noida +25 more,10k-50k Employees
27,Tata Motors,4.2,11.1k,Public,Pune +452 more,79 years old,10k-50k Employees
28,Flipkart,4.1,9.6k,Public,Bangalore +527 more,17 years old,10k-50k Employees
29,WNS,3.5,9.5k,28 years old,,Mumbai +33 more,10k-50k Employees
30,IndusInd Bank,3.7,9k,Public,Gurgaon/Gurugram +675 more,30 years old,10k-50k Employees
31,Ernst & Young,3.6,8.7k,22 years old,,London +96 more,50k-1 Lakh Employees
32,AU Small Finance Bank,4.5,8.7k,Fortune India 500,Jaipur +400 more,28 years old,10k-50k Employees
33,Mahindra & Mahindra,4.2,8.6k,Public,Mumbai +475 more,79 years old,1 Lakh+ Employees
34,Infosys BPM,3.9,8.2k,22 years old,,Bangalore/Bengaluru +65 more,10k-50k Employees
35,DXC Technology,3.8,8.1k,Public,Minato +80 more,7 years old,10k-50k Employees
36,IDFC FIRST Bank,4.0,8k,Public,Warangal +569 more,6 years old,10k-50k Employees
37,Conneqt Business Solutions,3.7,7.6k,22 years old,,Warangal +216 more,10k-50k Employees
38,HDFC Life,4.1,7.5k,Public,Warangal +545 more,24 years old,10k-50k Employees
39,LTIMindtree,3.7,7.5k,Public,Bengaluru/Bangalore +49 more,25 years old,50k-1 Lakh Employees
40,Bajaj Finserv,4.0,7.3k,Public,Pune +855 more,17 years old,50k-1 Lakh Employees
41,Mphasis,3.5,6.8k,Public,Bangalore/Bengaluru +47 more,26 years old,10k-50k Employees
42,PwC,3.6,6.8k,Conglomerate,London +90 more,144 years old,10k-50k Employees
43,HSBC Group,4.1,6.7k,Forbes Global 2000,Pune +57 more,22 years old,10k-50k Employees
44,Samsung,4.1,6.7k,Public,Seoul +501 more,86 years old,50k-1 Lakh Employees
45,Hinduja Global Solutions,3.9,6.7k,Public,Bangalore/Bengaluru +99 more,24 years old,10k-50k Employees
46,Startek,3.2,6.7k,Public,Mumbai +68 more,7 years old,10k-50k Employees
47,Ericsson,4.3,6.5k,Forbes Global 2000,Stockholm +146 more,148 years old,10k-50k Employees
48,Maruti Suzuki,4.2,6.5k,Public,New Delhi +374 more,43 years old,10k-50k Employees
49,Asian Paints,4.0,6.2k,Public,Mumbai +422 more,82 years old,5k-10k Employees
50,Yes Bank,3.9,6.2k,Public,Mumbai +432 more,20 years old,10k-50k Employees
51,Cipla Pharmaceutical,4.1,6.1k,Public,Mumbai +228 more,89 years old,10k-50k Employees
52,Dr. Reddy's,4.1,5.9k,Public,Hyderabad/Secunderabad +155 more,40 years old,10k-50k Employees
